p:min_p,p:reasoning_effort,p:repeat_penalty,p:temperature,p:top_k,p:top_p,objective,job_id,job_status,m:timestamp_submit,m:task_id,m:timestamp_gather,sol.p:min_p,sol.p:reasoning_effort,sol.p:repeat_penalty,sol.p:temperature,sol.p:top_k,sol.p:top_p,sol.objective,sol.objective_std_al,sol.objective_std_ep
0.32904949284298485,medium,1.5352927118101214,3.59686677104967,1,0.5117268910814557,0.0,1,DONE,0.31973767280578613,324,14.81853723526001,0.6015674901497068,medium,1.1068843185079058,4.076816713692521,30,0.17517659070596714,0.0,0.0,0.0
0.1645528698477565,low,1.9885951263980615,4.582429440957165,70,0.6549239034173676,0.0,3,DONE,15.046609878540039,459,25.470742225646973,0.3410494120236606,low,0.9061962819700577,3.821126593786611,29,0.8943067547293609,0.0,0.0,0.0
0.5698748805279525,low,0.7038026677934295,4.472193692216018,4,0.6331036905762732,0.0,0,DONE,0.3196837902069092,102,32.69928574562073,0.22546519091288145,medium,1.1909862825510136,2.182514274099905,10,0.9783881000113963,0.0,0.0,0.0
0.9173851183975922,low,1.7581702937664914,1.9428235993055791,15,0.6906458849616806,0.0,2,DONE,0.3197598457336426,276,35.074463844299316,0.7311613244463572,medium,1.751101528506506,0.26310336350967584,14,0.12900262818961727,0.0,0.0,0.0
0.20302949305648355,high,1.3637780113246125,0.4390476604007101,55,0.6114104908716679,1.0,5,DONE,32.873473167419434,135,82.73764228820801,0.6928137639325416,high,1.4348366307451608,0.7355733409882027,38,0.9141309095855981,0.23999999999999988,0.37947331922020566,0.19595917942265434
0.03779190407358273,medium,1.383279506603875,1.6352932413996366,56,0.7206554380671786,0.0,7,DONE,82.90641641616821,426,90.64776086807251,0.9730834803261761,low,0.9191184801617398,2.481370024393164,95,0.25568521412554357,0.18666666666666662,0.3559026084010438,0.15860503004493753
0.443583059933671,low,1.9678330435660643,1.2788886052633,81,0.2838097822265131,0.0,6,DONE,35.247637033462524,0,146.57383346557617,0.6080419373139363,high,1.6842164491028613,2.138666631872741,65,0.8115418472790213,0.16119047619047613,0.3404470517001694,0.13893851721040432
0.8791281588922871,high,1.425692147566731,3.202015173231546,31,0.9305851484007168,0.0,8,DONE,90.8184289932251,176,207.87537026405334,0.2624782682291526,medium,1.7890975521809054,3.359648891514025,95,0.15834066332186492,0.11908333333333332,0.29988076334140246,0.12236838167326289
0.7359404769216097,low,0.1669007560292698,0.544374676882,58,0.0588407624146139,0.0,4,DONE,25.6733341217041,189,302.5706295967102,0.029220958754402067,medium,1.496532054278977,0.28129917961346124,54,0.5857001814640364,0.1911666666666666,0.36005272247681036,0.1580633077575542
0.5991469105802404,low,1.8637332376280482,1.1057999988452907,98,0.7457303265395434,0.0,10,DONE,208.04684162139893,156,364.4885482788086,0.08010006146140417,low,1.092044199229998,1.09408230685371,54,0.2799463502998388,0.2037380952380952,0.3677413903257698,0.16430201954972407
0.6487403172876358,medium,1.9009445834015646,3.704593330570657,11,0.2208760258910621,0.0,12,DONE,364.6550199985504,111,372.5289521217346,0.1156387208707878,low,1.435308643234005,0.18222691749433587,54,0.5771857973138507,0.20701948051948046,0.37122137323923865,0.16234872113847648
0.5591576995244342,medium,0.6211738552918932,0.04244402282169846,27,0.8464049806941832,0.0,9,DONE,146.7507951259613,57,423.38535165786743,0.12262952149771082,high,0.9196095923392,0.20932073637754847,55,0.5478298472058086,0.21165476190476185,0.374023358698496,0.16420581845871557
0.09427250565847618,medium,0.8897276589116337,0.288575508222571,21,0.023859692822531225,0.0,11,DONE,302.74819803237915,25,605.4473493099213,0.5955326381553644,medium,1.8100530483072659,3.826315717782729,8,0.055507402464514514,0.023152319902319904,0.13270024561300445,0.07075969756654445
0.7494625780994205,medium,1.6420136887343801,1.1821759518126629,3,0.9513743707678207,0.0,15,DONE,605.6276202201843,463,616.258621931076,0.7987337594705974,medium,1.8143607049028856,4.291306318483832,5,0.871199650205148,0.012698412698412698,0.0968725490184829,0.056150443097228685
0.9582381290647971,low,1.8033387968313754,3.485187360152433,35,0.39368392045683465,0.0,16,DONE,616.4334032535553,291,622.1125371456146,0.8193528836452688,medium,1.902707808336859,4.213405655595782,22,0.20262364675232952,0.016373737373737377,0.11347463238395626,0.056825574378788615
