p:min_p,p:reasoning_effort,p:repeat_penalty,p:temperature,p:top_k,p:top_p,objective,job_id,job_status,m:timestamp_submit,m:timestamp_gather,sol.p:min_p,sol.p:reasoning_effort,sol.p:repeat_penalty,sol.p:temperature,sol.p:top_k,sol.p:top_p,sol.objective,sol.objective_std_al,sol.objective_std_ep
0.8480746413145444,low,0.885819597557328,3.0981765461140665,44,0.16006661804944436,0.0,1,DONE,0.34334826469421387,16.280726194381714,0.24495291706372022,medium,1.6493216742065955,3.707781950200126,100,0.46466431769911437,0.0,0.0,0.0
0.06818353431240422,high,1.305794605997706,4.593787660745544,27,0.6197017127673909,0.0,0,DONE,0.3432958126068115,48.54719400405884,0.5848821784205595,low,1.3517674433400995,1.7669015713657796,88,0.7697241065081123,0.0,0.0,0.0
0.6083511475956265,medium,1.4467428952766985,4.725598650018419,45,0.6567106599754706,0.0,2,DONE,16.50774645805359,57.166608810424805,0.9863655864198984,medium,1.0348995390061078,2.9950427995546796,72,0.6448724327718114,0.0,0.0,0.0
0.8671087875219776,medium,1.9321566902014422,2.9953431659298384,11,0.19915929479281996,0.0,4,DONE,57.3374605178833,228.1556875705719,0.8601532942418657,medium,0.9723953938958485,3.630510084956959,68,0.995318048820616,0.0,0.0,0.0
0.8099979373257304,low,0.5533399936722583,1.2881908708083354,16,0.014213229123885427,0.0,3,DONE,48.742740869522095,232.88103532791138,0.49933417211440945,low,1.8298296993054668,3.0497124720805995,41,0.8248664113741254,0.0,0.0,0.0
0.40870621966604564,low,1.1293471860404274,1.9298739156526126,94,0.28677606632644403,0.0,5,DONE,228.3269202709198,245.66818165779114,0.7227389111553648,medium,1.5490259835492142,3.495451818431801,8,0.6696084598121533,0.0,0.0,0.0
0.2374216015199934,low,1.0456678665141244,3.819548606198681,22,0.3994037693396798,0.0,7,DONE,245.83732676506042,258.1035451889038,0.1151273627698536,high,0.022925077046195067,3.3178990032857243,61,0.6838488038267099,0.0,0.0,0.0
0.6472152858046194,medium,1.065620751045689,2.834619634018006,25,0.7226598585297126,0.0,8,DONE,258.2745134830475,280.53278613090515,0.9718126865075112,medium,1.1211012487850294,1.5420521586070521,96,0.5147297276080599,0.0,0.0,0.0
0.769639021789765,high,1.0951258610640047,3.344922721997092,36,0.7477382546745722,0.0,6,DONE,233.14138746261597,285.5741455554962,0.7644371901736333,medium,1.6545114968180972,3.913271624792177,90,0.41629905953864593,0.0,0.0,0.0
0.6662748490158237,low,1.7704480799050366,3.8968974864463366,98,0.938887081701552,0.0,9,DONE,280.7090470790863,316.45211458206177,0.470117460257099,medium,0.7498167646168247,3.2971145312530172,87,0.15184297916946068,0.0,0.0,0.0
0.5247541784190958,low,1.4301178351758868,4.647566091642612,77,0.8766339141946871,0.0,11,DONE,316.6142671108246,355.6422083377838,0.3762464949954624,low,1.7702790199254752,0.35306215052736073,66,0.3928001261699712,0.0,0.0,0.0
0.15526735429300412,low,0.829850633750878,0.8040740912218645,67,0.34882499484259244,0.0,12,DONE,355.8162417411804,392.8503725528717,0.041129783020681245,medium,1.840344161360147,0.20664356912728335,60,0.29413800514264393,0.0,0.0,0.0
0.37809564235819676,low,1.9844681955174492,1.8326938918688318,23,0.6246418764127956,0.0,13,DONE,393.029580116272,417.389062166214,0.3031005290573217,high,0.05210074924999321,2.863639765578463,15,0.525092643348679,0.0,0.0,0.0
0.7889778554125606,high,1.7466960675480192,1.0140301043348887,14,0.16878050143107784,0.0,10,DONE,285.7343761920929,431.75253343582153,0.435343258195854,medium,1.3874831931464093,1.1588980949168817,93,0.670606252978096,0.0,0.0,0.0
0.9125950941300043,medium,1.1067543816831225,2.3876094085058632,84,0.30601818334289665,0.0,14,DONE,417.58814549446106,433.18938660621643,0.823653547457189,low,1.9934029102806672,3.4883821007887765,43,0.28557312647942384,0.0,0.0,0.0
0.8863605990624069,low,1.4899650284449404,0.04085273638151727,60,0.4559247033523889,0.0,16,DONE,433.36186122894287,462.6796431541443,0.6112410512540903,high,1.8610704583601148,3.6778212830898953,95,0.7260440831656797,0.0,0.0,0.0
0.6622763729810881,low,0.07528341971274655,2.577541345791575,95,0.5332197919316436,0.0,15,DONE,431.9198303222656,490.20782375335693,0.18495471143946818,low,0.02487362260704696,1.6548159004988918,36,0.7766383843171831,0.0,0.0,0.0
0.6968563897728276,medium,1.1863562965473637,2.5245118671117845,55,0.5398452392158165,1.0,18,DONE,490.38135266304016,524.8041663169861,0.22936692662983546,high,0.7570717524913535,3.7986084088278034,90,0.2312494078549518,0.008575757575757575,0.08163772342446846,0.04286602467956884
